vendor_id,price_per_user,soc2,iso27001,eu_data_residency,support_hours,implementation_days,api_available,contract_months,uptime_sla,vendor_age_years
V001,68,1,1,1,4,45,1,12,99.99,8
V002,92,1,1,1,24,30,1,24,99.99,12
V003,55,0,1,1,8,60,1,12,99.90,5
V004,74,1,0,1,24,75,1,12,99.95,7
V005,105,1,1,1,2,25,1,36,99.999,15
V006,48,0,0,0,48,90,0,12,99.50,3
V007,83,1,1,0,8,50,1,24,99.99,10
V008,61,0,1,1,4,40,1,12,99.95,6
V009,77,1,1,1,24,95,1,24,99.90,9
V010,88,1,1,1,4,35,1,12,99.999,11
V011,52,0,0,1,12,70,1,12,99.80,4
V012,79,0,1,1,24,75,1,24,99.95,8
V013,96,1,1,1,8,55,1,36,99.99,14
V014,64,1,0,1,4,45,0,12,99.90,6
V015,71,1,1,1,12,65,1,12,99.95,9
V016,58,0,1,0,24,80,1,12,99.80,5
V017,86,1,1,1,4,40,1,24,99.99,13
V018,69,1,1,1,48,85,1,12,99.90,7
V019,99,1,1,0,2,20,1,36,99.999,16
V020,57,0,0,1,8,55,1,12,99.90,4
